Longitude;Latitude;geohash;unique_prefix
16.39;48.24;u2edkvyf6sj6;u2edkvy
16.38;48.18;u2edhdzsceh8;u2edhdz
16.37;48.21;u2edk8278ejq;u2edk82
16.37;48.21;u2edk8278ejq;u2edk82
16.35;48.22;u2edk41tyeez;u2edk41
16.36;48.2;u2edhq8creks;u2edhq8
16.38;48.21;u2edk8re9ehw;u2edk8r
16.39;48.21;u2edkbqgdejq;u2edkbq
16.43;48.24;u2edmvgfqu04;u2edmvg
16.34;48.2;u2ed5yd3me7h;u2ed5yd
16.36;48.21;u2edk22gxehw;u2edk22
16.37;48.2;u2edhw832emk;u2edhw8
151.29;-33.8;r3gxdwyh8r7q;r3gxdwy
150.82;-33.77;r3gpzurg2zsk;r3gpzur
151.0;-33.82;r3grs56b5p0e;r3grs56
151.21;-33.88;r3gx2b7f8w11;r3gx2b7
151.21;-33.87;r3gx2f5ubw94;r3gx2f5
151.21;-33.87;r3gx2f5ubw94;r3gx2f5
151.21;-33.87;r3gx2f5ubw94;r3gx2f5
151.21;-33.88;r3gx2b7f8w11;r3gx2b7
150.99;-33.8;r3greygsdpkq;r3greyg
153.03;-27.47;r7hgdr1p9kvx;r7hgdr1
153.02;-27.47;r7hgdp1z8scp;r7hgdp1
153.43;-28.03;r7j0e3k33vns;r7j0e3k
153.03;-27.39;r7hu4mc19qj9;r7hu4mc
153.43;-28.01;r7j0ekumcvw8;r7j0eku
153.43;-28.02;r7j0e7h79vqd;r7j0e7h
153.09;-27.54;r7hg7dkxz7wz;r7hg7dk
153.03;-27.5;r7hgd3c0ckmw;r7hgd3c
144.97;-37.81;r1r0fuguvbgs;r1r0fug
144.97;-37.82;r1r0fg5ftc5d;r1r0fg5
144.95;-37.82;r1r0f7j6e9p6;r1r0f7j
144.97;-37.81;r1r0fuguvbgs;r1r0fug
144.96;-37.81;r1r0fsusubzk;r1r0fsu
-70.04;12.57;d6npw0q3t9y0;d6npw0q
-70.04;12.52;d6npnpnqm9np;d6npnpn
-70.04;12.52;d6npnpnqm9np;d6npnpn
49.85;40.38;tp5mwqgwt1ub;tp5mwqg
49.86;40.38;tp5mwwfyw1z0;tp5mwwf
49.85;40.4;tp5my6eej4hu;tp5my6e
48.9;39.95;tp4g28xvsegv;tp4g28x
4.38;50.84;u1515xjkmquv;u1515xj
4.35;50.83;u1514vrd4r55;u1514vr
4.33;50.83;u1514t340r1g;u1514t3
4.41;50.84;u151hr5k2qyj;u151hr5
4.4;51.22;u155kh7fpkmb;u155kh7
4.36;50.84;u1515pnu7qgt;u1515pn
4.36;50.85;u15170yyeqg8;u15170y
4.42;51.22;u155ks6d1kqb;u155ks6
3.19;51.27;u1478t6vkku3;u1478t6
4.36;50.85;u15170yyeqg8;u15170y
3.72;51.04;u14dkescd3c0;u14dkes
3.72;51.05;u14dktkgf395;u14dktk
4.71;50.88;u1537nmtqzws;u1537nm
4.36;50.86;u15174ybgr79;u15174y
4.49;50.9;u151w4j9bxfr;u151w4j
4.48;50.87;u151muw5px45;u151muw
4.48;50.9;u151tfn1zxfp;u151tfn
5.57;50.63;u15bn8zvnkm0;u15bn8z
4.86;50.47;u0grnefcn4nu;u0grnef
25.62;42.42;sxd1qfrfmkc1;sxd1qfr
23.43;42.64;sx8dt4m5yxfr;sx8dt4m
23.32;42.66;sx8ddwj0e2k5;sx8ddwj
23.32;42.7;sx8dftm1e3h4;sx8dftm
23.32;42.69;sx8dfemp72s1;sx8dfem
50.52;26.21;thevje7s33fw;thevje7
50.59;26.23;thevppn8b6q1;thevppn
50.6;26.2;thevp3tf16js;thevp3t
50.58;26.22;thevnvpnx6nu;thevnvp
50.57;26.21;thevneruq3uy;thevner
50.55;26.22;thevnm1qs65k;thevnm1
50.59;26.23;thevppn8b6q1;thevppn
50.6;26.22;thevpmjy96js;thevpmj
50.61;26.21;thevpemh63zw;thevpem
50.54;26.23;thevnp40g6k1;thevnp4
50.58;26.21;thevngrhr3yy;thevngr
50.59;26.24;thevr0ye06qp;thevr0y
50.55;26.23;thevnr12u673;thevnr1
50.54;26.23;thevnp40g6k1;thevnp4
50.58;26.24;thevqbz5p6qz;thevqbz
50.55;26.23;thevnr12u673;thevnr1
50.58;26.22;thevnvpnx6nu;thevnvp
50.58;26.14;theuwyxhx3nf;theuwyx
50.57;26.23;thevnxpby6kc;thevnxp
50.61;26.25;thevrdtj66xt;thevrdt
50.63;26.27;thsj2n79ue10;thsj2n7
114.4;4.3;w8c27nz934pu;w8c27nz
114.94;4.91;w8ceztbfb4m9;w8ceztb
